date,away_team,home_team,market_total,over_odds,under_odds,source
2026-06-10,MIN,DET,,,,
2026-06-10,ARI,MIA,,,,
2026-06-10,PHI,TOR,,,,
2026-06-10,STL,NYM,,,,
2026-06-10,TEX,KCR,,,,
2026-06-10,ATL,CHW,,,,
2026-06-10,CHC,COL,,,,
2026-06-10,MIL,ATH,,,,
2026-06-10,HOU,LAA,,,,
2026-06-11,STL,NYM,,,,
2026-06-11,MIN,DET,,,,
2026-06-11,ARI,MIA,,,,
2026-06-11,TEX,KCR,,,,
2026-06-11,CHC,COL,,,,
2026-06-11,LAD,PIT,,,,
2026-06-11,SEA,BAL,,,,
2026-06-12,MIA,PIT,,,,
2026-06-12,SEA,WSN,,,,
2026-06-12,SDP,BAL,,,,
2026-06-12,DET,CLE,,,,
2026-06-12,TEX,BOS,,,,
2026-06-12,ARI,CIN,,,,
2026-06-12,ATL,NYM,,,,
2026-06-12,NYY,TOR,,,,
2026-06-12,LAD,CHW,,,,
2026-06-12,PHI,MIL,,,,
2026-06-12,HOU,KCR,,,,
2026-06-12,STL,MIN,,,,
2026-06-12,TBR,LAA,,,,
2026-06-12,COL,ATH,,,,
2026-06-12,CHC,SFG,,,,
2026-06-13,STL,MIN,,,,
2026-06-13,NYY,TOR,,,,
2026-06-13,SDP,BAL,,,,
2026-06-13,SEA,WSN,,,,
2026-06-13,MIA,PIT,,,,
2026-06-13,ARI,CIN,,,,
2026-06-13,DET,CLE,,,,
2026-06-13,TEX,BOS,,,,
2026-06-13,ATL,NYM,,,,
2026-06-13,LAD,CHW,,,,
2026-06-13,HOU,KCR,,,,
2026-06-13,PHI,MIL,,,,
2026-06-13,COL,ATH,,,,
2026-06-13,CHC,SFG,,,,
2026-06-13,TBR,LAA,,,,
2026-06-14,MIA,PIT,,,,
2026-06-14,SDP,BAL,,,,
2026-06-14,SEA,WSN,,,,
2026-06-14,NYY,TOR,,,,
2026-06-14,ARI,CIN,,,,
2026-06-14,ATL,NYM,,,,
2026-06-14,HOU,KCR,,,,
2026-06-14,STL,MIN,,,,
2026-06-14,LAD,CHW,,,,
2026-06-14,PHI,MIL,,,,
2026-06-14,COL,ATH,,,,
2026-06-14,CHC,SFG,,,,
2026-06-14,TBR,LAA,,,,
2026-06-14,TEX,BOS,,,,
2026-06-15,MIA,PHI,,,,
2026-06-15,KCR,WSN,,,,
2026-06-15,NYM,CIN,,,,
2026-06-15,SDP,STL,,,,
2026-06-15,COL,CHC,,,,
2026-06-15,MIN,TEX,,,,
2026-06-15,DET,HOU,,,,
2026-06-15,LAA,ARI,,,,
2026-06-15,PIT,ATH,,,,
2026-06-15,TBR,LAD,,,,
2026-06-16,MIA,PHI,,,,
2026-06-16,KCR,WSN,,,,
2026-06-16,TOR,BOS,,,,
2026-06-16,CHW,NYY,,,,
2026-06-16,NYM,CIN,,,,
2026-06-16,SFG,ATL,,,,
2026-06-16,CLE,MIL,,,,
2026-06-16,SDP,STL,,,,
2026-06-16,COL,CHC,,,,
2026-06-16,MIN,TEX,,,,
2026-06-16,DET,HOU,,,,
2026-06-16,LAA,ARI,,,,
2026-06-16,PIT,ATH,,,,
2026-06-16,BAL,SEA,,,,
2026-06-16,TBR,LAD,,,,
2026-06-17,NYM,CIN,,,,
2026-06-17,KCR,WSN,,,,
2026-06-17,MIA,PHI,,,,
2026-06-17,SFG,ATL,,,,
2026-06-17,DET,HOU,,,,
2026-06-17,SDP,STL,,,,
2026-06-17,TBR,LAD,,,,
2026-06-17,LAA,ARI,,,,
2026-06-17,TOR,BOS,,,,
2026-06-17,CHW,NYY,,,,
2026-06-17,CLE,MIL,,,,
2026-06-17,COL,CHC,,,,
2026-06-17,PIT,ATH,,,,
2026-06-17,BAL,SEA,,,,
2026-06-18,TOR,BOS,,,,
2026-06-18,CLE,MIL,,,,
2026-06-18,MIN,TEX,,,,
2026-06-18,BAL,SEA,,,,
2026-06-18,NYM,PHI,,,,
2026-06-18,CHW,NYY,,,,
2026-06-18,STL,KCR,,,,
2026-06-18,LAA,ATH,,,,
2026-06-19,TOR,CHC,,,,
2026-06-19,CHW,DET,,,,
2026-06-19,CIN,NYY,,,,
2026-06-19,WSN,TBR,,,,
2026-06-19,SFG,MIA,,,,
2026-06-19,MIL,ATL,,,,
2026-06-19,SDP,TEX,,,,
2026-06-19,CLE,HOU,,,,
2026-06-19,STL,KCR,,,,
2026-06-19,PIT,COL,,,,
2026-06-19,LAA,ATH,,,,
2026-06-19,MIN,ARI,,,,
2026-06-19,BAL,LAD,,,,
2026-06-19,BOS,SEA,,,,
2026-06-20,CHW,DET,,,,
2026-06-20,CIN,NYY,,,,
2026-06-20,TOR,CHC,,,,
2026-06-20,SDP,TEX,,,,
2026-06-20,WSN,TBR,,,,
2026-06-20,SFG,MIA,,,,
2026-06-20,MIL,ATL,,,,
2026-06-20,CLE,HOU,,,,
2026-06-20,NYM,PHI,,,,
2026-06-20,PIT,COL,,,,
2026-06-20,LAA,ATH,,,,
2026-06-20,BAL,LAD,,,,
2026-06-20,BOS,SEA,,,,
2026-06-20,MIN,ARI,,,,
2026-06-21,CIN,NYY,,,,
2026-06-21,MIL,ATL,,,,
2026-06-21,WSN,TBR,,,,
2026-06-21,CHW,DET,,,,
2026-06-21,SFG,MIA,,,,
2026-06-21,CLE,HOU,,,,
2026-06-21,STL,KCR,,,,
2026-06-21,SDP,TEX,,,,
2026-06-21,PIT,COL,,,,
2026-06-21,MIN,ARI,,,,
2026-06-21,LAA,ATH,,,,
2026-06-21,BAL,LAD,,,,
2026-06-21,BOS,SEA,,,,
2026-06-21,NYM,PHI,,,,
2026-06-22,NYY,DET,,,,
2026-06-22,KCR,TBR,,,,
2026-06-22,TEX,MIA,,,,
2026-06-22,PHI,WSN,,,,
2026-06-22,HOU,TOR,,,,
2026-06-22,MIL,CIN,,,,
2026-06-22,LAD,MIN,,,,
2026-06-22,CLE,CHW,,,,
2026-06-22,ARI,STL,,,,
2026-06-22,BOS,COL,,,,
2026-06-22,BAL,LAA,,,,
2026-06-22,ATL,SDP,,,,
2026-06-23,HOU,TOR,,,,
2026-06-23,SEA,PIT,,,,
2026-06-23,KCR,TBR,,,,
2026-06-23,TEX,MIA,,,,
2026-06-23,NYY,DET,,,,
2026-06-23,PHI,WSN,,,,
2026-06-23,CHC,NYM,,,,
2026-06-23,MIL,CIN,,,,
2026-06-23,LAD,MIN,,,,
2026-06-23,CLE,CHW,,,,
2026-06-23,ARI,STL,,,,
2026-06-23,BOS,COL,,,,
2026-06-23,BAL,LAA,,,,
2026-06-23,ATL,SDP,,,,
2026-06-23,ATH,SFG,,,,
2026-06-24,TEX,MIA,,,,
2026-06-24,CHC,NYM,,,,
2026-06-24,CLE,CHW,,,,
