date,away_team,home_team,market_total,commence_time,model_total,bet_side,edge_label,best_ev,odds,actual_total,away_runs,home_runs,result,profit_units
2026-07-08,ATL,PIT,9.0,2026-07-08T22:41:00Z,11.684505783045532,over,watch,0.3297063791218455,-118,3,3,0,loss,-1.0000
2026-07-08,BOS,CHW,8.0,2026-07-08T23:41:00Z,6.230542759639237,under,watch,0.26786215371304345,-105,5,5,0,win,0.9524
2026-07-08,CHC,BAL,10.0,2026-07-08T22:36:00Z,7.41344387173044,under,watch,0.3164111565341383,-118,16,9,7,loss,-1.0000
2026-07-08,CLE,MIN,8.5,2026-07-08T23:41:00Z,11.685492462702978,over,watch,0.49545753157109584,-102,11,5,6,win,0.9804
2026-07-08,HOU,WSN,9.5,2026-07-08T22:46:00Z,6.460287025682769,under,watch,0.4546999221402306,-105,10,2,8,loss,-1.0000
2026-07-08,LAA,TEX,7.5,2026-07-09T00:06:00Z,9.39724846763919,over,watch,0.20927991282258018,-120,14,13,1,win,0.8333
2026-07-08,MIL,STL,8.0,2026-07-08T23:46:00Z,5.969887325095344,under,watch,0.30227812840399837,-106,6,1,5,win,0.9434
2026-07-08,PHI,CIN,9.0,2026-07-08T23:11:00Z,5.923713283575417,under,watch,0.4665042619626343,-104,16,5,11,loss,-1.0000
2026-07-08,SEA,MIA,8.5,2026-07-08T22:41:00Z,7.186294326271365,under,watch,0.22424740022086032,100,2,0,2,win,1.0000
2026-07-09,ARI,SDP,9.0,2026-07-10T01:41:00Z,10.562992532589158,over,watch,0.27965436272913924,103,4,3,1,loss,-1.0000
2026-07-09,CHC,BAL,9.5,2026-07-09T17:36:00Z,8.620760593572689,under,watch,0.13726215514987072,-102,5,2,3,win,0.9804
2026-07-09,CLE,MIN,8.5,2026-07-09T17:41:00Z,10.069071228919565,over,watch,0.17943407598015026,-115,7,5,2,loss,-1.0000
2026-07-09,COL,SFG,8.5,2026-07-10T01:46:00Z,9.603554729274899,over,watch,0.15755881617421652,-105,10,2,8,win,0.9524
2026-07-09,KCR,NYM,9.0,2026-07-09T17:11:00Z,10.155989898224735,over,lean,0.09490972161251476,-120,10,3,7,win,0.8333
2026-07-09,LAA,TEX,7.0,2026-07-10T00:06:00Z,9.712909820302539,over,watch,0.32697437400727036,-118,13,6,7,win,0.8475
2026-07-09,MIL,STL,8.5,2026-07-09T23:46:00Z,9.059068690818572,over,lean,0.054219817392576974,-108,12,8,4,win,0.9259
2026-07-09,NYY,TBR,7.5,2026-07-09T17:10:00Z,8.803858528449938,over,watch,0.17358519736243805,-108,16,12,4,win,0.9259
2026-07-09,PHI,CIN,9.5,2026-07-09T23:11:00Z,10.812814966661369,over,watch,0.20822431841751254,-102,1,1,0,loss,-1.0000
2026-07-09,SEA,MIA,8.0,2026-07-09T22:41:00Z,9.928328713507117,over,watch,0.23266072963275186,-115,12,4,8,win,0.8696
2026-07-10,ATH,CHW,8.5,2026-07-10T23:41:00Z,9.912867925419262,over,watch,0.10082368383989149,-128,15,1,14,win,0.7812
2026-07-10,ATL,STL,8.0,2026-07-11T00:16:00Z,8.70889495143414,over,lean,0.046719170723465986,-115,3,1,2,loss,-1.0000
2026-07-10,BOS,NYM,7.5,2026-07-10T23:50:00Z,8.830360682651303,over,watch,0.16703181597477523,-110,8,6,2,win,0.9091
2026-07-10,CHC,CIN,9.5,2026-07-10T23:11:00Z,16.404351407376545,over,watch,0.8576904448753477,100,4,0,4,loss,-1.0000
2026-07-10,CLE,MIA,7.0,2026-07-10T23:11:00Z,8.45367340405728,over,watch,0.12643812838682855,-123,5,3,2,loss,-1.0000
2026-07-10,COL,SFG,8.0,2026-07-11T02:16:00Z,9.56785393951409,over,watch,0.17903167611901027,-115,7,4,3,loss,-1.0000
2026-07-10,HOU,TEX,8.5,2026-07-11T00:06:00Z,9.27498713950278,over,lean,0.07941342294344356,-110,10,3,7,win,0.9091
2026-07-10,KCR,BAL,10.0,2026-07-10T23:06:00Z,9.169299053252956,under,watch,0.14012426583307658,100,8,3,5,win,1.0000
2026-07-10,LAA,MIN,9.5,2026-07-11T00:11:00Z,10.571038583556222,over,watch,0.18004785776208276,100,7,4,3,loss,-1.0000
2026-07-10,NYY,WSN,10.0,2026-07-11T00:46:00Z,11.275162802888339,over,watch,0.18493239820201124,-105,8,5,3,loss,-1.0000
2026-07-10,TOR,SDP,8.5,2026-07-11T01:41:00Z,10.505725262571497,over,watch,0.2699425915947593,-110,8,5,3,loss,-1.0000
2026-07-11,ARI,LAD,8.5,2026-07-12T01:10:00Z,9.750245811129465,over,watch,0.1564596260894806,-110,11,9,2,win,0.9091
2026-07-11,BOS,NYM,7.5,2026-07-11T20:11:00Z,6.590356973078049,under,watch,0.1273147985198353,-105,4,4,0,win,0.9524
2026-07-11,CLE,MIA,7.5,2026-07-11T20:11:00Z,8.594343524073103,over,lean,0.078809652220454,-122,5,4,1,loss,-1.0000
2026-07-11,COL,SFG,8.5,2026-07-11T20:06:00Z,11.32969429129235,over,watch,0.34533731491082764,-118,6,2,4,loss,-1.0000
2026-07-11,HOU,TEX,8.5,2026-07-11T23:06:00Z,9.2302973766476,over,lean,0.08291702480262142,-108,12,9,3,win,0.9259
2026-07-11,KCR,BAL,9.0,2026-07-11T23:06:00Z,9.717090105449659,over,lean,0.0905686636048133,-106,7,1,6,loss,-1.0000
2026-07-11,NYY,WSN,9.0,2026-07-11T20:05:00Z,8.369130913555672,under,lean,0.05736876436047855,-110,6,4,2,win,0.9091
2026-07-11,SEA,TBR,7.0,2026-07-11T20:11:00Z,8.428711329218299,over,watch,0.1375038452199584,-120,7,1,6,push,0.0000
2026-07-11,TOR,SDP,8.0,2026-07-12T00:41:00Z,8.569668150521473,over,lean,0.08653962773929291,-102,15,7,8,win,0.9804
2026-07-12,ARI,LAD,9.5,2026-07-12T20:11:00Z,8.870895966721653,under,lean,0.047892721844941644,-112,8,5,3,win,0.8929
2026-07-12,ATH,CHW,8.5,2026-07-12T18:11:00Z,9.464360305683368,over,lean,0.07491729483947296,-118,10,1,9,win,0.8475
2026-07-12,ATL,STL,7.5,2026-07-12T18:16:00Z,8.66694006907234,over,lean,0.09762169744490334,-120,7,4,3,loss,-1.0000
2026-07-12,BOS,NYM,8.0,2026-07-12T17:41:00Z,8.938452957765904,over,lean,0.08814744062744406,-114,5,3,2,loss,-1.0000
2026-07-12,CHC,CIN,9.0,2026-07-12T17:41:00Z,9.920141551954197,over,watch,0.10370857372123599,-110,12,8,4,win,0.9091
2026-07-12,CLE,MIA,7.5,2026-07-12T17:41:00Z,8.229790799446647,over,lean,0.050916265175331876,-115,7,5,2,loss,-1.0000
2026-07-12,COL,SFG,9.0,2026-07-12T20:06:00Z,10.40222005148292,over,watch,0.14184290338450523,-118,4,1,3,loss,-1.0000
2026-07-12,HOU,TEX,9.0,2026-07-12T18:36:00Z,11.17612395065315,over,watch,0.33278442330099134,-104,11,5,6,win,0.9615
2026-07-12,LAA,MIN,8.5,2026-07-12T18:11:00Z,9.400357659464289,over,lean,0.05690076296169466,-120,6,2,4,loss,-1.0000
2026-07-12,MIL,PIT,7.5,2026-07-12T16:16:00Z,9.325104702005676,over,watch,0.1866624816677218,-122,19,5,14,win,0.8197
2026-07-12,PHI,DET,7.0,2026-07-12T17:41:00Z,8.245181914383796,over,watch,0.11802603883016793,-118,5,5,0,loss,-1.0000
2026-07-12,SEA,TBR,8.0,2026-07-12T17:41:00Z,8.364154798944496,over,lean,0.04671282866868465,-103,10,8,2,win,0.9709
2026-07-12,TOR,SDP,8.5,2026-07-12T20:11:00Z,9.320131010878264,over,watch,0.13949768391157868,100,9,4,5,win,1.0000
2026-07-17,CIN,COL,12.0,2026-07-18T00:41:00Z,10.035753432287718,under,watch,0.267978405616653,-110,9,7,2,win,0.9091
2026-07-17,DET,LAA,8.5,2026-07-18T01:39:00Z,7.30413380596352,under,watch,0.12515197925156474,-115,3,2,1,win,0.8696
2026-07-17,LAD,NYY,9.0,2026-07-17T23:06:00Z,10.63270962110651,over,watch,0.1971075299783569,-114,3,2,1,loss,-1.0000
2026-07-17,MIN,CHC,11.0,2026-07-18T00:06:00Z,10.393585531148371,under,lean,0.05393284753399108,-110,7,5,2,win,0.9091
2026-07-17,SDP,KCR,10.0,2026-07-18T00:11:00Z,9.247149264980303,under,watch,0.10735118655518483,-104,13,6,7,loss,-1.0000
2026-07-17,STL,ARI,9.0,2026-07-18T01:41:00Z,9.49310972140993,over,lean,0.05892036285801505,-105,9,5,4,push,0.0000
2026-07-17,TBR,BOS,9.0,2026-07-17T23:11:00Z,4.898763395549235,under,watch,0.5179763525276131,-115,10,0,10,loss,-1.0000
2026-07-17,TEX,ATL,8.0,2026-07-17T23:16:00Z,6.419432712527378,under,watch,0.20937901320269403,-110,16,1,15,loss,-1.0000
2026-07-17,WSN,ATH,10.0,2026-07-18T01:41:00Z,8.786971614115384,under,watch,0.15166665094005038,-110,27,23,4,loss,-1.0000
2026-07-18,BAL,HOU,9.0,2026-07-18T20:11:00Z,9.372723614283206,over,lean,0.04209417920864422,-104,6,4,2,loss,-1.0000
2026-07-18,CIN,COL,12.5,2026-07-18T19:11:00Z,10.96762048035163,under,watch,0.2174796975614861,-106,13,3,10,loss,-1.0000
2026-07-18,MIA,MIL,8.0,2026-07-18T20:11:00Z,8.9026463792185,over,lean,0.08903136469076856,-112,14,6,8,win,0.8929
2026-07-18,MIN,CHC,8.5,2026-07-18T18:21:00Z,9.270144449585285,over,lean,0.07745881117064002,-110,8,2,6,loss,-1.0000
2026-07-18,NYM,PHI,8.5,2026-07-18T19:06:00Z,9.679905227503575,over,watch,0.11811574546480119,-115,7,1,6,loss,-1.0000
2026-07-18,PIT,CLE,8.0,2026-07-18T23:10:00Z,9.157265454786932,over,watch,0.11019828412465449,-116,8,3,5,push,0.0000
2026-07-18,SFG,SEA,7.0,2026-07-19T00:09:00Z,8.714641892664337,over,watch,0.18404518470831066,-118,7,3,4,push,0.0000
2026-07-18,STL,ARI,9.0,2026-07-18T20:11:00Z,9.373644680535575,over,lean,0.062681596842876,100,8,3,5,loss,-1.0000
2026-07-18,TEX,ATL,9.0,2026-07-18T20:11:00Z,9.60122604237634,over,lean,0.07448815959608024,-105,13,7,6,win,0.9524
2026-07-18,WSN,ATH,11.0,2026-07-19T02:06:00Z,10.139006848497852,under,watch,0.11142759986099549,-106,16,1,15,loss,-1.0000
2026-07-19,BAL,HOU,8.0,2026-07-19T18:11:00Z,8.786220611432922,over,lean,0.07138751483469341,-112,7,5,2,loss,-1.0000
2026-07-19,CHW,TOR,8.0,2026-07-19T16:16:00Z,9.017119002271585,over,lean,0.09395826063760482,-115,3,3,0,loss,-1.0000
2026-07-19,CIN,COL,11.0,2026-07-19T19:11:00Z,11.725045828471169,over,lean,0.0851466882455596,-107,15,9,6,win,0.9346
2026-07-19,LAD,NYY,7.5,2026-07-19T16:36:00Z,9.403772535729159,over,watch,0.25304305446794584,-110,10,8,2,win,0.9091
2026-07-19,MIA,MIL,8.0,2026-07-19T18:11:00Z,9.54777436574274,over,watch,0.17937690709808862,-114,4,1,3,loss,-1.0000
2026-07-19,MIN,CHC,7.5,2026-07-19T18:21:00Z,9.819406515808588,over,watch,0.31361068643303014,-110,11,1,10,win,0.9091
2026-07-19,NYM,PHI,8.5,2026-07-19T17:36:00Z,9.47582274652794,over,lean,0.058564185487834264,-122,7,6,1,loss,-1.0000
2026-07-19,PIT,CLE,7.0,2026-07-19T17:41:00Z,8.658767944636892,over,watch,0.21629303263751498,-110,8,7,1,win,0.9091
2026-07-19,SFG,SEA,7.5,2026-07-19T20:11:00Z,8.175918935906353,over,watch,0.12478134083215164,102,9,3,6,win,1.0200
2026-07-20,ATH,ARI,9.0,2026-07-21T01:41:00Z,12.723544381969282,over,watch,0.43042439954463974,-122,7,5,2,loss,-1.0000
2026-07-20,CHW,TEX,7.5,2026-07-21T00:06:00Z,8.866251609314729,over,watch,0.13517411819985536,-118,13,10,3,win,0.8475
2026-07-20,CIN,SEA,7.5,2026-07-21T01:41:00Z,8.217006258697156,over,lean,0.048222053546103094,-115,8,0,8,win,0.8696
2026-07-20,DET,CHC,11.0,2026-07-21T00:06:00Z,10.61973656538644,under,lean,0.0645394845439744,100,14,8,6,loss,-1.0000
2026-07-20,MIA,HOU,9.0,2026-07-21T00:11:00Z,9.443770983517819,over,lean,0.06474638513619091,-102,13,5,8,win,0.9804
2026-07-20,NYM,MIL,7.5,2026-07-20T23:41:00Z,7.085233412377515,under,lean,0.059886957038534305,-102,11,3,8,loss,-1.0000
2026-07-20,PIT,NYY,7.5,2026-07-20T23:06:00Z,9.046032675605268,over,watch,0.1445874443843458,-122,13,5,8,win,0.8197
2026-07-20,SDP,ATL,9.0,2026-07-20T23:16:00Z,9.927225890149654,over,lean,0.060148750373981485,-120,5,2,3,loss,-1.0000
2026-07-20,STL,LAA,9.0,2026-07-21T02:11:00Z,7.975088899408204,under,watch,0.10096743470327008,-114,5,2,3,win,0.8772
2026-07-20,TBR,TOR,7.5,2026-07-20T23:08:00Z,6.569841311672748,under,lean,0.08596981308950813,-114,8,7,1,loss,-1.0000
2026-07-20,WSN,COL,12.0,2026-07-21T00:41:00Z,14.06700139339424,over,watch,0.25789086868076594,-114,10,7,3,loss,-1.0000
2026-07-21,ATH,ARI,9.5,2026-07-22T01:41:00Z,10.765281467263318,over,watch,0.1807774370396371,-106,11,5,6,win,0.9434
2026-07-21,CHW,TEX,8.5,2026-07-22T00:06:00Z,10.826834258639279,over,watch,0.2788103161109796,-118,10,0,10,win,0.8475
2026-07-21,DET,CHC,8.0,2026-07-22T00:06:00Z,9.957424568249087,over,watch,0.301730462877992,-104,13,2,11,win,0.9615
2026-07-21,LAD,PHI,9.0,2026-07-21T22:41:00Z,8.158295797479223,under,lean,0.06950790340495971,-115,3,2,1,win,0.8696
2026-07-21,MIA,HOU,9.0,2026-07-22T00:11:00Z,9.901250656907836,over,lean,0.05801409327176277,-120,8,3,5,loss,-1.0000
2026-07-21,SDP,ATL,9.0,2026-07-21T23:16:00Z,9.547017767126356,over,lean,0.06791595537089123,-105,11,8,3,win,0.9524
2026-07-21,SFG,KCR,9.0,2026-07-21T23:41:00Z,10.812584844885617,over,watch,0.2450117260914535,-110,5,2,3,loss,-1.0000
2026-07-21,TBR,TOR,7.5,2026-07-21T23:08:00Z,8.891946683309481,over,watch,0.1601977018728733,-114,14,12,2,win,0.8772
2026-07-22,ATH,ARI,9.0,2026-07-22T19:41:00Z,10.494146322352883,over,watch,0.16941907656965993,-115,20,5,15,win,0.8696
2026-07-22,CIN,SEA,8.0,2026-07-22T19:41:00Z,7.504419348654459,under,lean,0.06366231731062344,-104,8,5,3,push,0.0000
2026-07-22,DET,CHC,8.0,2026-07-23T00:06:00Z,9.389804874809212,over,watch,0.18830455966320736,-108,6,5,1,loss,-1.0000
2026-07-22,LAD,PHI,9.5,2026-07-22T22:40:00Z,11.694583989341655,over,watch,0.3230823548814368,-106,14,9,5,win,0.9434
2026-07-22,MIN,CLE,8.0,2026-07-22T22:41:00Z,9.495611043436247,over,watch,0.19436948476455895,-110,16,10,6,win,0.9091
2026-07-22,NYM,MIL,7.5,2026-07-22T18:11:00Z,7.225974267240366,under,lean,0.046794403600389556,100,7,3,4,win,1.0000
2026-07-22,SDP,ATL,8.5,2026-07-22T23:16:00Z,8.26337178487951,under,lean,0.0508181987293459,102,13,6,7,loss,-1.0000
2026-07-22,WSN,COL,11.5,2026-07-22T19:11:00Z,10.456280059365174,under,lean,0.08710031192411893,-118,8,8,0,win,0.8475
2026-07-23,ARI,STL,7.5,2026-07-23T21:16:00Z,9.256665831216692,over,watch,0.2678980645257487,-104,16,10,6,win,0.9615
2026-07-23,KCR,DET,8.5,2026-07-23T22:41:00Z,4.9119245369422435,under,watch,0.4735725643743993,-112,7,3,4,win,0.8929
2026-07-23,MIN,CLE,7.5,2026-07-23T17:11:00Z,8.159781516934682,over,watch,0.10127143535618233,-102,4,3,1,loss,-1.0000
