date,away_team,home_team,market_total,total_runs,model_total,bet_side,odds,best_ev,over_probability,under_probability,result,profit_units
2026-07-04,DET,TEX,9.5,3.0,10.219371218781806,over,-110,0.07181298451810303,0.5614258490332921,0.43857415096670793,loss,-1.0
2026-07-04,BAL,CIN,8.5,13.0,9.836892687519285,over,-110,0.16990923151711024,0.6128095974613434,0.38719040253865655,win,0.9091
2026-07-04,TBR,HOU,8.0,18.0,9.29884700113789,over,-110,0.16417215689269948,0.6098044631342712,0.3901955368657289,win,0.9091
2026-07-04,STL,CHC,11.5,3.0,12.12889272051148,over,-110,0.05660612562859746,0.5534603515197415,0.4465396484802585,loss,-1.0
2026-07-04,NYM,ATL,9.0,17.0,7.9200595570750965,under,-110,0.12782073525741278,0.4092367577223076,0.5907632422776924,loss,-1.0
2026-07-04,SFG,COL,11.5,10.0,12.263579069711225,over,-110,0.0769327912852964,0.5641076525780124,0.4358923474219876,loss,-1.0
2026-07-04,PHI,KCR,11.5,7.0,10.400350510181628,under,-110,0.13025876134796577,0.4079596964367799,0.5920403035632201,win,0.9091
2026-07-04,MIL,ARI,8.5,7.0,9.493646413099457,over,-110,0.11434124672968804,0.583702557810789,0.41629744218921105,loss,-1.0
2026-07-04,SDP,LAD,10.0,3.0,9.461791682583574,under,-110,0.041675650369479955,0.4543603736159867,0.5456396263840133,win,0.9091
2026-07-05,NYM,ATL,9.5,19.0,7.742035211161408,under,-110,0.23279093775521353,0.35425236593774534,0.6457476340622547,loss,-1.0
2026-07-05,PIT,WSN,10.5,16.0,9.94443407568663,under,-110,0.043547760499867305,0.45337974450006957,0.5466202554999304,loss,-1.0
2026-07-05,BAL,CIN,9.0,5.0,10.23946709205646,over,-110,0.151084031497575,0.6029487784034916,0.3970512215965084,loss,-1.0
2026-07-05,MIN,NYY,10.5,7.0,9.667992748946393,under,-110,0.08724014588719808,0.43049325691622964,0.5695067430837704,win,0.9091
2026-07-05,PHI,KCR,11.0,7.0,10.015111666075954,under,-110,0.11181651896832667,0.4176199186356384,0.5823800813643616,win,0.9091
2026-07-05,TBR,HOU,8.5,2.0,9.374433856462131,over,-110,0.09455352543995943,0.5733375609447406,0.42666243905525936,loss,-1.0
2026-07-05,DET,TEX,9.0,9.0,9.727750973560193,over,-110,0.07095427565548906,0.5609760491528752,0.43902395084712476,push,0.0
2026-07-05,SFG,COL,11.5,13.0,12.563833436501511,over,-110,0.12426893753353663,0.5889027768032811,0.4110972231967189,win,0.9091
2026-07-05,MIL,ARI,8.5,5.0,9.416691638783773,over,-110,0.10138253367306249,0.5769146604954136,0.4230853395045863,loss,-1.0
2026-07-05,MIA,ATH,10.0,17.0,9.479101978052945,under,-110,0.03835631450146115,0.45609907335637756,0.5439009266436224,loss,-1.0
2026-07-05,BOS,LAA,8.0,12.0,8.66322896739635,over,-110,0.06109181057796431,0.5558099960170289,0.4441900039829711,win,0.9091
2026-07-06,NYM,ATL,10.0,13.0,8.929170397039428,under,-110,0.12389206039606648,0.4112946350306319,0.5887053649693681,loss,-1.0
2026-07-06,MIL,STL,8.0,7.0,9.040137825072353,over,-110,0.1191924298813094,0.5862436537473525,0.4137563462526475,loss,-1.0
2026-07-07,MIL,STL,8.0,7.0,9.054447669328429,over,-110,0.12206929057804028,0.5877505807789735,0.41224941922102654,loss,-1.0
2026-07-07,MIL,STL,8.0,12.0,9.051649096127049,over,-110,0.12187097542887071,0.5876467014151228,0.41235329858487724,win,0.9091
2026-07-07,CHC,BAL,9.5,7.0,9.02546959991954,under,-110,0.03062379609881294,0.46014944013871706,0.5398505598612829,win,0.9091
2026-07-07,ATH,DET,9.5,8.0,8.836419946867206,under,-110,0.060920101707363505,0.4442799467247144,0.5557200532752856,win,0.9091
2026-07-07,SEA,MIA,8.0,11.0,9.564828837334547,over,-110,0.20184047285842732,0.6295354857829857,0.3704645142170143,win,0.9091
2026-07-07,NYY,TBR,8.0,10.0,8.524902735663153,over,-110,0.038975827878561686,0.5442254336506751,0.45577456634932484,win,0.9091
2026-07-07,KCR,NYM,10.5,28.0,8.905574075571174,under,-110,0.20753730548568639,0.3674804590313071,0.6325195409686929,loss,-1.0
2026-07-07,CLE,MIN,9.5,4.0,10.404274821129043,over,-110,0.09618515654862603,0.5741922248588041,0.42580777514119594,loss,-1.0
2026-07-07,BOS,CHW,8.5,9.0,9.555212001875415,over,-110,0.1192662108740159,0.5862823009340083,0.4137176990659916,win,0.9091
2026-07-07,TOR,SFG,8.0,12.0,8.48151284230424,over,-110,0.030469979300456362,0.5397699891573818,0.46023001084261816,win,0.9091
2026-07-07,COL,LAD,10.5,7.0,9.974399333308043,under,-110,0.0374625605755361,0.45656723017471923,0.5434327698252808,win,0.9091
2026-07-08,CHC,BAL,9.5,16.0,8.999664372280415,under,-110,0.03370427238034712,0.45853585732458013,0.5414641426754199,loss,-1.0
2026-07-08,SEA,MIA,8.0,2.0,9.357419808935843,over,-110,0.1663979202344179,0.6109703391704093,0.3890296608295907,loss,-1.0
2026-07-08,NYY,TBR,8.0,3.0,6.41468837624062,under,-110,0.20026405214837117,0.3712902583984723,0.6287097416015277,win,0.9091
2026-07-08,KCR,NYM,11.5,8.0,10.013720402786506,under,-110,0.18599368087587997,0.37876521477930103,0.621234785220699,win,0.9091
2026-07-08,CLE,MIN,9.0,11.0,9.73570873864088,over,-110,0.07055385378897272,0.5607663043656523,0.4392336956343477,win,0.9091
2026-07-08,BOS,CHW,8.5,5.0,9.47075365230176,over,-110,0.10740967117043954,0.5800717325178493,0.41992826748215073,loss,-1.0
2026-07-08,MIL,STL,8.5,6.0,9.360420325874129,over,-110,0.0902606996665909,0.5710889379205952,0.42891106207940477,loss,-1.0
2026-07-09,KCR,NYM,11.0,10.0,9.728221549024171,under,-110,0.15411946609398308,0.3954612320460089,0.6045387679539911,win,0.9091
2026-07-09,NYY,TBR,8.0,16.0,8.63859820087334,over,-110,0.05579593474633526,0.553035965819509,0.44696403418049097,win,0.9091
2026-07-09,CHC,BAL,10.0,5.0,9.48843717107802,under,-110,0.03556637393275963,0.4575604707971259,0.5424395292028741,win,0.9091
2026-07-09,CLE,MIN,9.0,7.0,10.255502940091827,over,-110,0.15156651810198274,0.6032015094819909,0.3967984905180091,loss,-1.0
2026-07-09,BOS,CHW,8.5,3.0,9.521591713162087,over,-110,0.11560948950611105,0.584366875455582,0.41563312454441803,loss,-1.0
2026-07-09,SEA,MIA,8.0,12.0,9.241774589656597,over,-110,0.14944356503722234,0.6020894864480688,0.3979105135519312,win,0.9091
2026-07-09,COL,SFG,9.5,10.0,8.801839076839773,under,-110,0.06473802258388006,0.4422800834084438,0.5577199165915562,loss,-1.0
2026-07-10,KCR,BAL,9.5,8.0,8.6108537424991,under,-110,0.0950887658322832,0.4263820750402326,0.5736179249597674,win,0.9091
2026-07-10,SEA,TBR,7.0,9.0,8.45191121262384,over,-110,0.18199561993744218,0.6191405628243745,0.3808594371756256,win,0.9091
2026-07-10,CLE,MIA,8.5,5.0,9.259938570853956,over,-110,0.07509714699488579,0.5631461246163687,0.43685387538363135,loss,-1.0
2026-07-10,BOS,NYM,9.0,8.0,7.947648634203618,under,-110,0.12089382962314721,0.4128651368640658,0.5871348631359342,win,0.9091
2026-07-10,ATH,CHW,10.0,15.0,7.455353000445868,under,-110,0.3422063580068935,0.29693952675829394,0.7030604732417061,loss,-1.0
2026-07-10,COL,SFG,9.5,7.0,7.2715190343037674,under,-110,0.2983521878408393,0.3199107587500366,0.6800892412499634,win,0.9091
2026-07-11,MIL,PIT,9.0,13.0,9.657554086726318,over,-110,0.059529440353980556,0.5549916116139898,0.4450083883860102,win,0.9091
2026-07-11,MIL,PIT,9.5,5.0,10.11922280515485,over,-110,0.053522310436106446,0.5518450197522462,0.44815498024775385,loss,-1.0
2026-07-11,ATH,CHW,10.0,1.0,9.491115210161679,under,-110,0.0360492736310829,0.4573075233360995,0.5426924766639005,win,0.9091
2026-07-11,COL,SFG,9.5,6.0,8.780870642721293,under,-110,0.06914372980652606,0.4399723320061054,0.5600276679938946,win,0.9091
2026-07-11,BOS,NYM,9.0,4.0,9.54072962743538,over,-110,0.04099176991105202,0.5452814032867415,0.45471859671325854,loss,-1.0
2026-07-11,SEA,TBR,7.5,7.0,8.787620541802935,over,-110,0.1582442393009471,0.6066993634433532,0.3933006365566468,loss,-1.0
2026-07-11,KCR,BAL,9.5,7.0,8.503345047038964,under,-110,0.1134331561222639,0.41677310869786177,0.5832268913021382,win,0.9091
2026-07-12,MIL,PIT,9.0,19.0,9.5086047494317,over,-110,0.03640263546729705,0.5428775709590603,0.45712242904093975,win,0.9091
2026-07-12,KCR,BAL,9.5,10.0,8.53692391456189,under,-110,0.10814512825277833,0.41954302805806853,0.5804569719419315,loss,-1.0
2026-07-12,BOS,NYM,9.0,5.0,9.683351801519313,over,-110,0.06430619321839637,0.5574937202572552,0.44250627974274487,loss,-1.0
2026-07-12,SEA,TBR,7.0,10.0,8.297229084773603,over,-110,0.1610429646611109,0.6081653624415343,0.3918346375584657,win,0.9091
2026-07-12,CLE,MIA,8.0,7.0,8.740987851960046,over,-110,0.07369887452351476,0.5624136961789838,0.43758630382101615,loss,-1.0
2026-07-12,COL,SFG,9.5,4.0,8.790374962717827,under,-110,0.06933015893936845,0.439874678650807,0.560125321349193,win,0.9091
2026-07-16,NYM,PHI,10.5,5.0,9.888674465569201,under,-110,0.053761299985412236,0.4480297952457365,0.5519702047542635,win,0.9091
2026-07-17,TBR,BOS,8.0,10.0,9.11089749814795,over,-110,0.13365188292569252,0.593817652961077,0.4061823470389229,win,0.9091
2026-07-17,TBR,BOS,8.0,8.0,9.079005910731256,over,-110,0.12882619847600396,0.5912899134874307,0.40871008651256935,push,0.0
2026-07-17,BAL,HOU,9.0,5.0,9.510308638155108,over,-110,0.037256061549333586,0.5433246036686985,0.45667539633130144,loss,-1.0
2026-07-17,CIN,COL,11.0,9.0,11.96796538093089,over,-110,0.11077365312405596,0.5818338183030769,0.4181661816969231,loss,-1.0
2026-07-17,DET,LAA,8.5,3.0,9.057552128185753,over,-110,0.04503310752069645,0.5473982944156028,0.45260170558439716,loss,-1.0
2026-07-17,WSN,ATH,10.0,27.0,9.289076269020818,under,-110,0.06965274118045439,0.43970570700071443,0.5602942929992856,loss,-1.0
2026-07-18,PIT,CLE,9.0,8.0,8.188609353719626,under,-110,0.0839087125347815,0.4322382934341621,0.5677617065658379,win,0.9091
2026-07-18,PIT,CLE,9.0,8.0,8.244547485374301,under,-110,0.07522405147051536,0.4367874016106824,0.5632125983893176,win,0.9091
2026-07-18,CIN,COL,11.0,13.0,11.618685539939364,over,-110,0.05356200046452719,0.5518658097671333,0.4481341902328667,win,0.9091
2026-07-18,BAL,HOU,8.5,6.0,9.049952372370807,over,-110,0.0427191347545639,0.5461862134428668,0.4538137865571333,loss,-1.0
2026-07-18,TBR,BOS,8.0,13.0,8.784786590428867,over,-110,0.08040733687254109,0.5659276526475215,0.43407234735247846,win,0.9091
2026-07-18,SFG,SEA,7.5,7.0,8.398161141461413,over,-110,0.0984678516459665,0.5753879222907443,0.4246120777092557,loss,-1.0
2026-07-18,WSN,ATH,10.5,16.0,9.5848081327314,under,-110,0.1013308321384303,0.42311242126082227,0.5768875787391777,loss,-1.0
2026-07-18,DET,LAA,8.5,7.0,9.13878190198983,over,-110,0.05722011884001099,0.5537819670114343,0.4462180329885657,loss,-1.0
2026-07-19,TBR,BOS,8.5,7.0,7.153297714455075,under,-110,0.1688396892402073,0.3877506389694152,0.6122493610305848,win,0.9091
2026-07-19,NYM,PHI,10.5,7.0,9.874107987458816,under,-110,0.055322599540623685,0.44721197166919713,0.5527880283308029,win,0.9091
2026-07-19,TEX,ATL,10.0,13.0,9.126397562846776,under,-110,0.09492979135374768,0.4264653473861322,0.5735346526138678,loss,-1.0
2026-07-19,PIT,CLE,9.0,8.0,8.246635000829514,under,-110,0.07583354401547338,0.43646814361094255,0.5635318563890575,win,0.9091
2026-07-19,BAL,HOU,8.5,7.0,9.067865845818423,over,-110,0.0462498824448585,0.5480356527092116,0.45196434729078844,loss,-1.0
2026-07-19,CIN,COL,11.0,15.0,11.842564687990851,over,-110,0.08991775067741314,0.570909297973883,0.429090702026117,win,0.9091
2026-07-19,WSN,ATH,11.0,7.0,10.213128793315711,under,-110,0.0811437088315623,0.4336866287072769,0.5663133712927231,win,0.9091
2026-07-19,DET,LAA,8.5,5.0,9.107214781872788,over,-110,0.05248712778500342,0.5513027812207161,0.4486972187792839,loss,-1.0
2026-07-20,PIT,NYY,10.0,13.0,9.210926710331906,under,-110,0.08129204771457643,0.4336089273876028,0.5663910726123972,loss,-1.0
2026-07-20,TBR,TOR,8.5,8.0,9.088995245525409,over,-110,0.049388950871108506,0.5496799266467711,0.4503200733532289,loss,-1.0
2026-07-20,BAL,BOS,8.0,11.0,8.910418334178752,over,-110,0.10078435529595842,0.5766013289645496,0.42339867103545037,win,0.9091
2026-07-20,DET,CHC,9.5,14.0,10.1588937191623,over,-110,0.06078743367460082,0.5556505604962194,0.44434943950378053,win,0.9091
2026-07-20,ATH,ARI,10.0,7.0,9.371852676398722,under,-110,0.056096899023796,0.44680638622563074,0.5531936137743693,win,0.9091
2026-07-21,TBR,TOR,8.5,14.0,9.066950153800818,over,-110,0.046415591512211085,0.5481224526968724,0.45187754730312757,win,0.9091
2026-07-21,DET,CHC,9.5,13.0,10.132826200933406,over,-110,0.057058724736426036,0.5536974272428898,0.4463025727571101,win,0.9091
2026-07-21,ATH,ARI,10.0,11.0,9.333514166954576,under,-110,0.06295786013240745,0.4432125494544533,0.5567874505455467,loss,-1.0
2026-07-22,PIT,NYY,10.0,8.0,9.520757542598636,under,-110,0.03278109345530833,0.4590194272376956,0.5409805727623044,win,0.9091
2026-07-22,BAL,BOS,8.0,9.0,8.94135237581797,over,-110,0.1073309280128929,0.5800304861019915,0.4199695138980085,win,0.9091
2026-07-22,BAL,BOS,8.5,6.0,9.422339274823308,over,-110,0.10445221503488922,0.5785225888277991,0.42147741117220094,loss,-1.0
2026-07-22,ATH,ARI,10.0,20.0,9.254847187651903,under,-110,0.07625793120496427,0.43624584555930446,0.5637541544406955,loss,-1.0
2026-07-22,DET,CHC,10.0,6.0,10.528283785551183,over,-110,0.040496634498866424,0.5450220466422634,0.4549779533577366,loss,-1.0
2026-07-23,KCR,DET,9.5,7.0,8.78531500690719,under,-110,0.07066772899891727,0.43917404671485283,0.5608259532851472,win,0.9091
2026-07-24,COL,MIL,9.5,7.0,9.031918844025745,under,-110,0.03083941976909732,0.4600364944066634,0.5399635055933366,win,0.9091
2026-07-24,KCR,DET,9.5,3.0,8.810423068113886,under,-110,0.06681954947730184,0.4411897597976038,0.5588102402023962,win,0.9091
2026-07-24,CHC,PIT,10.5,5.0,9.64626979565864,under,-110,0.0931995464402664,0.4273716661503366,0.5726283338496634,win,0.9091
2026-07-24,NYY,PHI,9.5,1.0,9.969093335678801,over,-110,0.031011683770459042,0.5400537391178595,0.45994626088214047,loss,-1.0
2026-07-24,CLE,TBR,8.0,14.0,6.9035665047338455,under,-110,0.13154406549125253,0.4072864418855344,0.5927135581144656,loss,-1.0
2026-07-24,TOR,BOS,8.5,10.0,9.08798376971575,over,-110,0.050034599772152744,0.5500181236901752,0.4499818763098248,win,0.9091
2026-07-24,SEA,TEX,9.0,9.0,9.879407033754573,over,-110,0.0970259888274565,0.5746326608143819,0.4253673391856181,push,0.0
2026-07-24,ATH,MIN,10.5,2.0,9.537035311653899,under,-110,0.11053759600967794,0.4182898306615973,0.5817101693384027,win,0.9091
2026-07-24,CIN,STL,8.5,6.0,9.132401936926076,over,-110,0.057233582420161966,0.553789019362942,0.44621098063705794,loss,-1.0
2026-07-25,KCR,DET,9.0,5.0,8.343631784512258,under,-110,0.06116251594757416,0.444152967836985,0.555847032163015,win,0.9091
2026-07-25,LAA,SFG,8.0,11.0,7.013774007195169,under,-110,0.11430934926852143,0.41631415038315545,0.5836858496168446,loss,-1.0
2026-07-25,TOR,BOS,8.5,6.0,7.922508375007741,under,-110,0.048582754073435375,0.4507423669139148,0.5492576330860852,win,0.9091
2026-07-25,SDP,MIA,9.0,9.0,7.836726405431739,under,-110,0.14266572892704077,0.4014608086572644,0.5985391913427356,push,0.0
2026-07-25,NYY,PHI,9.0,4.0,9.485529089584414,over,-110,0.03381270992794727,0.5415209432955914,0.4584790567044086,loss,-1.0
2026-07-25,CHC,PIT,10.0,11.0,9.126899007801674,under,-110,0.09640742350093223,0.42569134959474986,0.5743086504052501,loss,-1.0
2026-07-25,ATH,MIN,10.0,2.0,9.069405604772566,under,-110,0.10583649133289441,0.42075231406372204,0.579247685936278,win,0.9091
